X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
32.0,84.87882,10,24.98298,121.54024,48.5
19.5,306.5947,9,24.98034,121.53951,49.1
13.3,561.9845,5,24.98746,121.54391,46.4
13.3,561.9845,5,24.98746,121.54391,46.4
5.0,390.5684,5,24.97937,121.54245,47.6
7.1,2175.03,3,24.96305,121.51254,34.0
34.5,623.4731,7,24.97933,121.53642,41.2
20.3,287.6025,6,24.98042,121.54228,45.4
31.7,5512.038,1,24.95095,121.48458,7.9
17.9,1783.18,3,24.96731,121.51486,33.8
34.8,405.2134,1,24.97349,121.53372,34.0
6.3,90.45606,9,24.97433,121.5431,52.2
13.0,492.2313,5,24.96515,121.53737,42.0
20.4,2469.645,4,24.96108,121.51046,29.9
13.2,1164.838,4,24.99156,121.53406,43.8
35.7,579.2083,2,24.9824,121.54619,35.5
0.0,292.9978,6,24.97744,121.54458,50.1
17.7,350.8515,1,24.97544,121.53119,39.4
16.9,368.1363,8,24.9675,121.54451,45.2
1.5,23.38284,7,24.96772,121.54102,50.1
4.5,2275.877,3,24.96314,121.51151,34.3
10.5,279.1726,7,24.97528,121.54541,47.9
14.7,1360.139,1,24.95204,121.54842,29.4
10.1,279.1726,7,24.97528,121.54541,48.0
39.6,480.6977,4,24.97353,121.53885,35.6
29.3,1487.868,2,24.97542,121.51726,32.7
3.1,383.8624,5,24.98085,121.54391,48.5
10.4,276.449,5,24.95593,121.53913,41.6
19.2,557.478,4,24.97419,121.53797,40.9
7.1,451.2438,5,24.97563,121.54694,45.7
25.9,4519.69,0,24.94826,121.49587,11.9
29.6,769.4034,7,24.98281,121.53408,42.7
37.9,488.5727,1,24.97349,121.53451,32.7
16.5,323.655,6,24.97841,121.54281,45.8
15.4,205.367,7,24.98419,121.54243,49.1
13.9,4079.418,0,25.01459,121.51816,31.2
14.7,1935.009,2,24.96386,121.51458,32.1
12.0,1360.139,1,24.95204,121.54842,30.1
3.1,577.9615,6,24.97201,121.54722,46.5
16.2,289.3248,5,24.98203,121.54348,45.7
13.6,4082.015,0,24.94155,121.50381,15.4
16.8,4066.587,0,24.94297,121.50342,14.9
36.1,519.4617,5,24.96305,121.53758,35.2
34.4,512.7871,6,24.98748,121.54301,42.1
2.7,533.4762,4,24.97445,121.54765,45.1
36.6,488.8193,8,24.97015,121.54494,39.9
21.7,463.9623,9,24.9703,121.54458,45.3
35.9,640.7391,3,24.97563,121.53715,35.2
24.2,4605.749,0,24.94684,121.49578,11.6
29.4,4510.359,1,24.94925,121.49542,12.4
21.7,512.5487,4,24.974,121.53842,40.4
31.3,1758.406,1,24.95402,121.55282,23.3
32.1,1438.579,3,24.97419,121.5175,33.1
13.3,492.2313,5,24.96515,121.53737,41.9
16.1,289.3248,5,24.98203,121.54348,45.7
31.7,1160.632,0,24.94968,121.53009,24.9
33.6,371.2495,8,24.97254,121.54059,42.0
3.5,56.47425,7,24.95744,121.53711,47.2
30.3,4510.359,1,24.94925,121.49542,12.1
13.3,336.0532,5,24.95776,121.53438,41.1
11.0,1931.207,2,24.96365,121.51471,33.0
5.3,259.6607,6,24.97585,121.54516,48.4
17.2,2175.877,3,24.96303,121.51254,31.3
2.6,533.4762,4,24.97445,121.54765,45.1
17.5,995.7554,0,24.96305,121.54915,31.6
40.1,123.7429,8,24.97635,121.54329,42.2
1.0,193.5845,6,24.96571,121.54089,47.8
8.5,104.8101,5,24.96674,121.54067,45.3
30.4,464.223,6,24.97964,121.53805,41.9
12.5,561.9845,5,24.98746,121.54391,46.6
6.6,90.45606,9,24.97433,121.5431,52.1
35.5,640.7391,3,24.97563,121.53715,35.3
32.5,424.5442,8,24.97587,121.53913,42.9
13.8,4082.015,0,24.94155,121.50381,15.3
6.8,379.5575,10,24.98343,121.53762,54.1
12.3,1360.139,1,24.95204,121.54842,30.0
35.9,616.4004,3,24.97723,121.53767,35.7
20.5,2185.128,3,24.96322,121.51237,30.4
38.2,552.4371,2,24.97598,121.53381,34.1
18.0,1414.837,1,24.95182,121.54887,28.1
11.8,533.4762,4,24.97445,121.54765,42.6
30.8,377.7956,6,24.96427,121.53964,38.6
13.2,150.9347,7,24.96725,121.54252,46.1
25.3,2707.392,3,24.96056,121.50831,26.3
15.1,383.2805,7,24.96735,121.54464,44.4
0.0,338.9679,9,24.96853,121.54413,51.3
1.8,1455.798,1,24.9512,121.549,32.2
